Description,Down-regulated SIV.Early ART During ART,Down-regulated SIV.Early ART Early ATI,Down-regulated SIV.Late ART Early ATI,Up-regulated SIV.Early ART During ART,Up-regulated SIV.Early ART Early ATI,Up-regulated SIV.Late ART Early ATI
BIOCARTA_CDMAC_PATHWAY,0,0,0,0,1,0
BIOCARTA_CERAMIDE_PATHWAY,0,0,0,0,1,0
BIOCARTA_CHEMICAL_PATHWAY,0,0,0,0,1,0
BIOCARTA_CLASSIC_PATHWAY,1,0,0,0,0,0
BIOCARTA_COMP_PATHWAY,1,1,0,0,0,0
BIOCARTA_DEATH_PATHWAY,0,0,0,0,0,1
BIOCARTA_DNAFRAGMENT_PATHWAY,0,0,0,1,0,0
BIOCARTA_DREAM_PATHWAY,1,0,0,0,0,0
BIOCARTA_ECM_PATHWAY,1,1,1,0,0,0
BIOCARTA_EIF_PATHWAY,0,0,0,1,1,0
BIOCARTA_EPONFKB_PATHWAY,0,0,0,0,1,0
BIOCARTA_EPO_PATHWAY,0,0,0,0,1,0
BIOCARTA_ERAD_PATHWAY,0,0,0,1,1,1
BIOCARTA_FREE_PATHWAY,0,0,0,1,1,0
BIOCARTA_GHRELIN_PATHWAY,1,1,1,0,0,0
BIOCARTA_HIF_PATHWAY,0,0,0,0,1,0
BIOCARTA_IL2_PATHWAY,0,0,0,0,1,0
BIOCARTA_IL6_PATHWAY,1,0,0,0,1,0
BIOCARTA_INTEGRIN_PATHWAY,1,1,1,0,0,0
BIOCARTA_MAPK_PATHWAY,0,0,0,0,1,1
BIOCARTA_MET_PATHWAY,1,0,0,0,0,0
BIOCARTA_MITOCHONDRIA_PATHWAY,0,0,0,0,0,1
BIOCARTA_NGF_PATHWAY,0,0,0,0,1,0
BIOCARTA_NPC_PATHWAY,0,0,0,1,1,1
BIOCARTA_PRC2_PATHWAY,0,0,0,1,1,1
BIOCARTA_PROTEASOME_PATHWAY,0,0,0,1,1,1
BIOCARTA_RAB_PATHWAY,0,0,0,1,1,1
BIOCARTA_RACCYCD_PATHWAY,0,0,0,1,1,1
BIOCARTA_RANMS_PATHWAY,0,0,0,1,1,1
BIOCARTA_RAS_PATHWAY,0,0,0,1,1,1
BIOCARTA_RHO_PATHWAY,1,1,1,0,0,0
BIOCARTA_RNA_PATHWAY,0,0,0,0,1,0
BIOCARTA_SM_PATHWAY,0,0,0,1,1,0
BIOCARTA_SRCRPTP_PATHWAY,0,0,0,1,1,1
BIOCARTA_TID_PATHWAY,0,0,0,0,1,1
BIOCARTA_UCALPAIN_PATHWAY,0,1,0,0,0,0
BIOCARTA_WNT_PATHWAY,0,0,0,0,0,1
KEGG_ALZHEIMERS_DISEASE,0,1,1,1,1,1
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,0,0,0,1,1,1
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,0,0,0,1,1,1
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0,0,0,0,1,0
KEGG_ARGININE_AND_PROLINE_METABOLISM,0,0,0,1,0,0
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,1,1,1,0,0,0
KEGG_BETA_ALANINE_METABOLISM,0,0,0,1,0,0
KEGG_BUTANOATE_METABOLISM,0,0,0,1,1,0
KEGG_CARDIAC_MUSCLE_CONTRACTION,0,1,0,0,0,0
KEGG_CELL_CYCLE,0,0,0,1,1,1
KEGG_CHRONIC_MYELOID_LEUKEMIA,0,0,0,0,0,1
KEGG_CITRATE_CYCLE_TCA_CYCLE,0,0,0,1,1,1
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,1,0,0,0,0,0
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0,0,0,0,1,0
KEGG_DILATED_CARDIOMYOPATHY,1,1,1,0,0,0
KEGG_ECM_RECEPTOR_INTERACTION,1,1,1,0,0,0
KEGG_ENDOCYTOSIS,0,0,0,1,1,1
KEGG_FATTY_ACID_METABOLISM,0,0,0,1,1,1
KEGG_FOCAL_ADHESION,1,1,1,0,0,0
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,0,0,0,1,1,1
KEGG_GLUTATHIONE_METABOLISM,0,0,0,1,1,0
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0,0,0,1,1,1
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,0,0,0,1,1,0
