Description,Down-regulated SIV.Early ART During ART,Down-regulated SIV.Early ART Early ATI,Down-regulated SIV.Late ART Early ATI,Up-regulated SIV.Early ART During ART,Up-regulated SIV.Early ART Early ATI,Up-regulated SIV.Late ART Early ATI
BIOCARTA_CDMAC_PATHWAY,1.0,1.0,1.0,1.0,0.0163490359663448,1.0
BIOCARTA_CERAMIDE_PATHWAY,1.0,1.0,1.0,1.0,0.0282303121987917,1.0
BIOCARTA_CHEMICAL_PATHWAY,1.0,1.0,1.0,1.0,0.0337753330623941,1.0
BIOCARTA_CLASSIC_PATHWAY,0.000219833133667,1.0,1.0,1.0,1.0,1.0
BIOCARTA_COMP_PATHWAY,0.0001219752165599,0.0379715829625244,1.0,1.0,1.0,1.0
BIOCARTA_DEATH_PATHWAY,1.0,1.0,1.0,1.0,1.0,0.045698927173024
BIOCARTA_DNAFRAGMENT_PATHWAY,1.0,1.0,1.0,0.0450311925368182,1.0,1.0
BIOCARTA_DREAM_PATHWAY,0.0202813471259137,1.0,1.0,1.0,1.0,1.0
BIOCARTA_ECM_PATHWAY,0.0132930579586613,0.0064267972264913,0.0270078403127904,1.0,1.0,1.0
BIOCARTA_EIF_PATHWAY,1.0,1.0,1.0,0.0130070917300475,0.0034577265601505,1.0
BIOCARTA_EPONFKB_PATHWAY,1.0,1.0,1.0,1.0,0.0302785854203074,1.0
BIOCARTA_EPO_PATHWAY,1.0,1.0,1.0,1.0,0.0471183442336533,1.0
BIOCARTA_ERAD_PATHWAY,1.0,1.0,1.0,0.0003116988132114,4.37988268502004e-05,0.0035876145571405
BIOCARTA_FREE_PATHWAY,1.0,1.0,1.0,0.0450311925368182,0.0184112375298171,1.0
BIOCARTA_GHRELIN_PATHWAY,0.0161246694167237,0.0016675424785592,0.0058926820192855,1.0,1.0,1.0
BIOCARTA_HIF_PATHWAY,1.0,1.0,1.0,1.0,0.0103113242037168,1.0
BIOCARTA_IL2_PATHWAY,1.0,1.0,1.0,1.0,0.0381578138538209,1.0
BIOCARTA_IL6_PATHWAY,0.0188391128169747,1.0,1.0,1.0,0.0282303121987917,1.0
BIOCARTA_INTEGRIN_PATHWAY,0.0001778373771319,0.0001175565738896,0.000144850562583,1.0,1.0,1.0
BIOCARTA_MAPK_PATHWAY,1.0,1.0,1.0,1.0,0.0089200571198691,0.0188384507043118
BIOCARTA_MET_PATHWAY,0.0242988790900897,1.0,1.0,1.0,1.0,1.0
BIOCARTA_MITOCHONDRIA_PATHWAY,1.0,1.0,1.0,1.0,1.0,0.021726919712235
BIOCARTA_NGF_PATHWAY,1.0,1.0,1.0,1.0,0.0471183442336533,1.0
BIOCARTA_NPC_PATHWAY,1.0,1.0,1.0,0.0025510946399372,0.0056340157041139,0.0012965530439114
BIOCARTA_PRC2_PATHWAY,1.0,1.0,1.0,0.0111793536451057,0.0181144880279375,0.0008777024260436
BIOCARTA_PROTEASOME_PATHWAY,1.0,1.0,1.0,1.11666668490432e-06,9.17955468810038e-08,0.0002244619386353
BIOCARTA_RAB_PATHWAY,1.0,1.0,1.0,0.0305706097061578,0.0016827753737004,0.0028373704178258
BIOCARTA_RACCYCD_PATHWAY,1.0,1.0,1.0,0.0061390643141285,0.0009983348926809,0.000479292959309
BIOCARTA_RANMS_PATHWAY,1.0,1.0,1.0,0.0082684619242635,0.0026650224366524,0.0043834753858032
BIOCARTA_RAS_PATHWAY,1.0,1.0,1.0,0.0450311925368182,0.0381578138538209,0.0187665030200538
BIOCARTA_RHO_PATHWAY,0.0188391128169747,0.0093802122153642,0.036790660012709,1.0,1.0,1.0
BIOCARTA_RNA_PATHWAY,1.0,1.0,1.0,1.0,0.0184112375298171,1.0
BIOCARTA_SM_PATHWAY,1.0,1.0,1.0,0.0007914379275343,0.0474756897690546,1.0
BIOCARTA_SRCRPTP_PATHWAY,1.0,1.0,1.0,0.0168145029380482,0.0056340157041139,0.038509046080808
BIOCARTA_TID_PATHWAY,1.0,1.0,1.0,1.0,0.0337753330623941,0.0147843360399003
BIOCARTA_UCALPAIN_PATHWAY,1.0,0.0203041316608791,1.0,1.0,1.0,1.0
BIOCARTA_WNT_PATHWAY,1.0,1.0,1.0,1.0,1.0,0.025123035788471
KEGG_ALZHEIMERS_DISEASE,1.0,0.0039789984570965,0.0003230199099853,1.6141447039003298e-11,8.14472811330393e-08,0.0283967118356244
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,1.0,1.0,1.0,3.20524245607201e-05,0.0015593680239638,0.003393998104298
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,1.0,1.0,1.0,1.82065297564184e-07,6.16109543004797e-07,2.7483687738106e-06
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,1.0,1.0,1.0,1.0,0.0414938378145921,1.0
KEGG_ARGININE_AND_PROLINE_METABOLISM,1.0,1.0,1.0,0.0217934242382527,1.0,1.0
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.0130244010940409,0.0023719241176613,0.0058490187119548,1.0,1.0,1.0
KEGG_BETA_ALANINE_METABOLISM,1.0,1.0,1.0,0.0012123027110693,1.0,1.0
KEGG_BUTANOATE_METABOLISM,1.0,1.0,1.0,0.0016878922793584,0.0257074609437197,1.0
KEGG_CARDIAC_MUSCLE_CONTRACTION,1.0,0.0264949994143122,1.0,1.0,1.0,1.0
KEGG_CELL_CYCLE,1.0,1.0,1.0,0.0012158797056457,0.0008961370020898,0.0014768267628482
KEGG_CHRONIC_MYELOID_LEUKEMIA,1.0,1.0,1.0,1.0,1.0,0.032295359897328
KEGG_CITRATE_CYCLE_TCA_CYCLE,1.0,1.0,1.0,9.42864826990525e-11,2.7445797842357105e-11,1.7206026298629e-07
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.0015036173364461,1.0,1.0,1.0,1.0,1.0
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,1.0,1.0,1.0,1.0,0.0496401488278228,1.0
KEGG_DILATED_CARDIOMYOPATHY,0.0043392905384753,0.0056288753770117,0.004987729800203,1.0,1.0,1.0
KEGG_ECM_RECEPTOR_INTERACTION,7.844699118773698e-10,6.005279950885151e-09,2.0392810761015002e-10,1.0,1.0,1.0
KEGG_ENDOCYTOSIS,1.0,1.0,1.0,0.0303355523423057,0.0029878151885911,0.0002663272377867
KEGG_FATTY_ACID_METABOLISM,1.0,1.0,1.0,1.96617442711262e-07,0.0001331826843356,0.0012965530439114
KEGG_FOCAL_ADHESION,1.7084752495901198e-11,4.01538196870816e-12,1.1571446082658001e-10,1.0,1.0,1.0
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,1.0,1.0,1.0,0.0083572955300887,0.0038886222047487,0.0205631694733036
KEGG_GLUTATHIONE_METABOLISM,1.0,1.0,1.0,0.0087698709108364,0.0202194707769905,1.0
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,1.0,1.0,1.0,0.0014550077228953,0.0122233643513811,0.0225659611605211
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,1.0,1.0,1.0,0.0004374486440129,0.0034577265601505,1.0
KEGG_HUNTINGTONS_DISEASE,1.0,0.0023719241176613,1.23393520686262e-05,6.0383523102039296e-15,1.15082422931999e-11,0.0004102627198748
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.0221285450113962,0.003893670977176,0.0031594945825931,1.0,1.0,1.0
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,0.0003563489447007,0.0059444468481804,0.022841856049056,1.0,1.0,1.0
KEGG_LYSINE_DEGRADATION,1.0,1.0,1.0,0.0087698709108364,1.0,1.0
KEGG_LYSOSOME,0.000712001571042,1.0,1.0,1.0,0.0062053168758071,0.0087421451377042
KEGG_N_GLYCAN_BIOSYNTHESIS,1.0,1.0,1.0,0.000134393976948,0.0012594525401973,0.0186769437758798
KEGG_OOCYTE_MEIOSIS,1.0,1.0,1.0,1.0,1.0,0.0136485098928197
KEGG_OXIDATIVE_PHOSPHORYLATION,1.0,2.47098351822366e-05,0.00025098514406,1.44069046223554e-12,1.82159939500193e-08,1.0
KEGG_PARKINSONS_DISEASE,0.0307092089442471,3.83530292429643e-06,1.98023065378667e-06,1.9063905418017198e-14,1.5474543184430801e-09,0.0015031225214038
KEGG_PEROXISOME,1.0,1.0,1.0,5.72248596324729e-05,0.0044293180568538,0.0046746447523977
KEGG_PPAR_SIGNALING_PATHWAY,1.0,1.0,1.0,0.0489852629858379,1.0,1.0
KEGG_PRION_DISEASES,0.0242988790900897,1.0,1.0,1.0,1.0,1.0
KEGG_PROPANOATE_METABOLISM,1.0,1.0,1.0,3.1425585796764197e-05,0.0154837870691637,0.0086995242854038
KEGG_PROTEASOME,1.0,1.0,1.0,9.360442805088293e-18,3.420045487336481e-13,8.74891401392098e-08
KEGG_PROTEIN_EXPORT,1.0,1.0,1.0,6.90268804876358e-06,4.29394512055117e-06,0.0004768585331166
KEGG_PYRIMIDINE_METABOLISM,1.0,1.0,1.0,0.0096632698033291,1.0,1.0
KEGG_PYRUVATE_METABOLISM,1.0,1.0,1.0,0.0007528319820657,0.002621713297924,1.0
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.0017600332101163,0.0038088650225866,0.0023650408687764,1.0,1.0,1.0
KEGG_RIBOSOME,1.0,1.0,3.6968496139348803e-10,5.6094694551884505e-21,8.67909132256101e-06,1.0
KEGG_RNA_DEGRADATION,1.0,1.0,1.0,0.0005849989560178,0.0062338227601098,1.0
KEGG_SPLICEOSOME,1.0,1.0,1.0,3.01895664448209e-21,3.2878179561774805e-17,2.6278245804643107e-17
KEGG_STEROID_BIOSYNTHESIS,1.0,1.0,1.0,0.0130070917300475,1.0,1.0
KEGG_THYROID_CANCER,1.0,1.0,1.0,1.0,0.0316347110527716,0.0187152964830233
KEGG_TRYPTOPHAN_METABOLISM,1.0,1.0,1.0,0.0450311925368182,1.0,1.0
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,1.0,1.0,1.0,0.0052996242987354,0.0003316378735622,0.0001457903123477
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,1.0,1.0,1.0,1.0,0.0302785854203074,0.038509046080808
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,1.0,1.0,1.0,2.6458228174232e-06,0.000647438003546,0.0004768585331166
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,3.53810039646822e-05,0.002202749489311,0.0030164864860896,1.0,1.0,1.0
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,1.0,1.0,1.0,1.0,1.0,0.0325598232566074
KEGG_VIRAL_MYOCARDITIS,0.0212826211599825,1.0,1.0,1.0,1.0,1.0
NABA_BASEMENT_MEMBRANES,0.0028248714494787,0.002202749489311,0.0122252520296904,1.0,1.0,1.0
NABA_COLLAGENS,0.0160311559409336,0.0025383533712141,0.0149627154373168,1.0,1.0,1.0
NABA_CORE_MATRISOME,7.775414553727481e-15,2.9334390301045607e-18,1.3172625370315401e-12,1.0,1.0,1.0
NABA_ECM_GLYCOPROTEINS,5.7173673035244505e-12,2.1071867215125901e-13,6.104458811657068e-10,1.0,1.0,1.0
NABA_ECM_REGULATORS,0.0030027762524218,1.0,1.0,1.0,1.0,1.0
NABA_PROTEOGLYCANS,1.0,0.0385503607338595,1.0,1.0,1.0,1.0
PID_AJDISS_2PATHWAY,1.0,1.0,1.0,1.0,0.0200673143895514,0.0325598232566074
PID_AMB2_NEUTROPHILS_PATHWAY,0.0001511940499748,0.0139224419689646,1.0,1.0,1.0,1.0
PID_ARF_3PATHWAY,1.0,1.0,1.0,0.0033425676628495,9.57677094358129e-05,0.0012965530439114
PID_AURORA_A_PATHWAY,1.0,1.0,1.0,0.0039481387821746,1.0,1.0
PID_AVB3_INTEGRIN_PATHWAY,0.0001778373771319,5.5493952676344095e-05,0.0002298826385496,1.0,1.0,1.0
PID_AVB3_OPN_PATHWAY,0.0192440256297492,1.0,1.0,1.0,1.0,1.0
PID_CASPASE_PATHWAY,1.0,0.0336880105960077,1.0,1.0,1.0,1.0
PID_CDC42_PATHWAY,1.0,1.0,1.0,0.0123081561712842,0.0002623180164329,0.001993083387221
PID_CERAMIDE_PATHWAY,1.0,1.0,1.0,1.0,0.004845341225107,0.0468094502822845
PID_E2F_PATHWAY,1.0,1.0,1.0,0.0309909869555673,0.0127821955892422,0.0122958803812739
PID_ECADHERIN_NASCENT_AJ_PATHWAY,1.0,1.0,1.0,1.0,0.0043338841410698,0.0219306907035286
PID_ECADHERIN_STABILIZATION_PATHWAY,1.0,1.0,1.0,1.0,1.0,0.038509046080808
PID_EPHA2_FWD_PATHWAY,1.0,1.0,1.0,0.0475984774178365,0.0471183442336533,1.0
PID_ERBB1_DOWNSTREAM_PATHWAY,1.0,1.0,1.0,0.0284977380124714,0.010085198075647,5.74387383871457e-05
PID_FAK_PATHWAY,0.0028248714494787,0.0031121017480664,0.0013376135698189,1.0,1.0,1.0
PID_FOXO_PATHWAY,1.0,1.0,1.0,0.0387735631223007,0.0293701919152553,0.0014792995060487
PID_FRA_PATHWAY,0.0345135183805201,0.0449578722466246,1.0,1.0,1.0,1.0
PID_HDAC_CLASSII_PATHWAY,1.0,1.0,1.0,1.0,1.0,0.025123035788471
PID_HDAC_CLASSI_PATHWAY,1.0,1.0,1.0,0.0244967373646255,0.0007364417271545,0.0046674999060624
PID_IGF1_PATHWAY,1.0,1.0,1.0,0.0497337080876361,1.0,1.0
PID_ILK_PATHWAY,0.0017600332101163,0.0040787311416736,0.0011789278224809,1.0,1.0,1.0
PID_INTEGRIN1_PATHWAY,5.565991837920948e-10,2.4168917199530406e-08,1.63863714419067e-08,1.0,1.0,1.0
PID_INTEGRIN2_PATHWAY,0.0461994157281451,0.0203041316608791,1.0,1.0,1.0,1.0
PID_INTEGRIN3_PATHWAY,0.0002747460176998,0.0038799946096736,0.0010137867787424,1.0,1.0,1.0
PID_INTEGRIN_A4B1_PATHWAY,0.0001568949249322,0.0329353844256125,0.0294028707087161,1.0,1.0,1.0
PID_INTEGRIN_CS_PATHWAY,1.0,1.0,0.0486552868491832,1.0,1.0,1.0
PID_LYMPH_ANGIOGENESIS_PATHWAY,0.0344750883332925,0.0024493781629226,0.011565579999722,1.0,1.0,1.0
PID_MET_PATHWAY,1.0,1.0,1.0,0.0009049569556986,0.0027475087186877,0.0067774469568211
PID_MTOR_4PATHWAY,1.0,1.0,1.0,0.0012540220754507,0.0496270870328838,0.0004054309704699
PID_MYC_ACTIV_PATHWAY,1.0,1.0,1.0,1.78240433332238e-05,0.0005869524493106,0.0082709030085034
PID_MYC_REPRESS_PATHWAY,1.0,0.01539137140373,1.0,1.0,1.0,1.0
PID_P75_NTR_PATHWAY,1.0,1.0,1.0,1.0,0.0162023487443371,0.0285991181938691
PID_PDGFRB_PATHWAY,1.0,1.0,1.0,1.0,1.0,0.0089156268124409
PID_PI3KCI_AKT_PATHWAY,1.0,1.0,1.0,1.0,1.0,0.025123035788471
PID_PS1_PATHWAY,1.0,1.0,1.0,1.0,0.0130241482307852,0.0037121492924707
PID_RAC1_PATHWAY,1.0,1.0,1.0,1.0,0.0018996365586884,0.0016224466809326
PID_RANBP2_PATHWAY,1.0,1.0,1.0,1.0,0.0302785854203074,0.038509046080808
PID_RB_1PATHWAY,1.0,1.0,1.0,1.0,0.0200879593314831,1.0
PID_REG_GR_PATHWAY,1.0,1.0,1.0,1.0,0.0259969251235971,1.0
PID_RHOA_PATHWAY,0.0017600332101163,1.0,1.0,1.0,1.0,0.0468094502822845
PID_SYNDECAN_1_PATHWAY,0.0192440256297492,0.0160823209926749,1.0,1.0,1.0,1.0
PID_SYNDECAN_2_PATHWAY,0.0009161030498662,0.0058158680859221,1.0,1.0,1.0,1.0
PID_SYNDECAN_4_PATHWAY,1.15380573393025e-05,0.0045609793441684,0.0228527477005785,1.0,1.0,1.0
PID_TELOMERASE_PATHWAY,1.0,1.0,1.0,1.0,0.0133924087565314,0.0251092825956609
PID_UPA_UPAR_PATHWAY,1.0,0.0148652486176822,1.0,1.0,1.0,1.0
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,1.0,1.0,1.0,1.34364955656982e-12,3.3222693891554296e-11,9.91360408122121e-08
REACTOME_ABC_TRANSPORTER_DISORDERS,1.0,1.0,1.0,4.1379527014075594e-15,3.24547079413967e-13,1.34626874508312e-08
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,1.0,1.0,1.0,7.088559727526101e-05,0.0003613317593221,0.0007978506485515
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,1.0,1.0,0.0065463300878361,6.04528707991966e-16,0.0001723459409789,1.0
REACTOME_AGGREPHAGY,0.030932162280597,1.0,0.0089522050351417,1.0,1.0,1.0
REACTOME_AMYLOID_FIBER_FORMATION,1.0,0.0235006764490688,0.0437562677233155,1.0,1.0,1.0
REACTOME_ANCHORING_FIBRIL_FORMATION,1.0,0.0237639124413083,1.0,1.0,1.0,1.0
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,1.0,1.0,1.0,0.0012123027110693,1.0,1.0
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,1.0,1.0,1.0,9.87691426217444e-12,5.1207947463705794e-11,3.1410585684843097e-06
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,1.0,1.0,1.0,0.0001042197537527,9.983174216967e-05,0.000479292959309
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,1.0,1.0,1.0,1.0,0.0259969251235971,0.045698927173024
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A,1.0,1.0,1.0,0.0201426073689415,0.0400048971336754,0.007030551551818
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B,1.0,1.0,1.0,0.0092203751968138,0.006811539014466,0.003393998104298
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,1.0,1.0,1.0,1.52900396183958e-17,4.960771599639559e-13,5.7887096019256705e-09
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,1.0,1.0,1.0,5.9915312954452304e-18,2.12251831790953e-13,4.5736880874203294e-10
REACTOME_APOPTOSIS,1.0,1.0,1.0,3.9958642066153303e-10,4.9540169347328305e-08,1.1624368185158601e-07
