Cluster,Direction,Context,Description,GeneRatio,BgRatio,p.adjust,Count,geneID
Down-regulated SIV.Late ART Early ATI,Down,Late ART Early ATI,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,22/339,90/11617,5.74920988804605e-12,22.0,EEF1A1/EEF1G/FAU/RPL10/RPL10A/RPL12/RPL15/RPL18/RPL19/RPL23/RPL24/RPL30/RPL37A/RPL38/RPL7A/RPLP1/RPS11/RPS13/RPS14/RPS16/RPS2/RPS21
Down-regulated SIV.Late ART Early ATI,Down,Late ART Early ATI,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,20/339,87/11617,1.15982557412982e-10,20.0,FAU/RPL10/RPL10A/RPL12/RPL15/RPL18/RPL19/RPL23/RPL24/RPL30/RPL37A/RPL38/RPL7A/RPLP1/RPS11/RPS13/RPS14/RPS16/RPS2/RPS21
Down-regulated SIV.Late ART Early ATI,Down,Late ART Early ATI,KEGG_RIBOSOME,19/339,84/11617,3.6968496139348803e-10,19.0,FAU/RPL10/RPL10A/RPL12/RPL15/RPL18/RPL19/RPL23/RPL24/RPL30/RPL37A/RPL38/RPL7A/RPLP1/RPS11/RPS13/RPS16/RPS2/RPS21
Down-regulated SIV.Late ART Early ATI,Down,Late ART Early ATI,REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,20/339,97/11617,5.560177428434938e-10,20.0,FAU/RPL10/RPL10A/RPL12/RPL15/RPL18/RPL19/RPL23/RPL24/RPL30/RPL37A/RPL38/RPL7A/RPLP1/RPS11/RPS13/RPS14/RPS16/RPS2/RPS21
Down-regulated SIV.Late ART Early ATI,Down,Late ART Early ATI,REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,21/339,109/11617,5.862410909401231e-10,21.0,FAU/RPL10/RPL10A/RPL12/RPL15/RPL18/RPL19/RPL23/RPL24/RPL30/RPL37A/RPL38/RPL7A/RPLP1/RPS11/RPS13/RPS14/RPS16/RPS2/RPS21/SRP14
Down-regulated SIV.Late ART Early ATI,Down,Late ART Early ATI,REACTOME_INFLUENZA_INFECTION,24/339,148/11617,7.142609938773768e-10,24.0,FAU/NUP93/POLR2F/POLR2I/RPL10/RPL10A/RPL12/RPL15/RPL18/RPL19/RPL23/RPL24/RPL30/RPL37A/RPL38/RPL7A/RPLP1/RPS11/RPS13/RPS14/RPS16/RPS2/RPS21/SLC25A4
Down-regulated SIV.Late ART Early ATI,Down,Late ART Early ATI,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,21/339,116/11617,1.4497616127771101e-09,21.0,EIF3G/FAU/RPL10/RPL10A/RPL12/RPL15/RPL18/RPL19/RPL23/RPL24/RPL30/RPL37A/RPL38/RPL7A/RPLP1/RPS11/RPS13/RPS14/RPS16/RPS2/RPS21
Down-regulated SIV.Late ART Early ATI,Down,Late ART Early ATI,REACTOME_NONSENSE_MEDIATED_DECAY_NMD,20/339,111/11617,4.36682436748595e-09,20.0,FAU/RPL10/RPL10A/RPL12/RPL15/RPL18/RPL19/RPL23/RPL24/RPL30/RPL37A/RPL38/RPL7A/RPLP1/RPS11/RPS13/RPS14/RPS16/RPS2/RPS21
Down-regulated SIV.Late ART Early ATI,Down,Late ART Early ATI,REACTOME_SELENOAMINO_ACID_METABOLISM,20/339,114/11617,6.871664208070249e-09,20.0,FAU/RPL10/RPL10A/RPL12/RPL15/RPL18/RPL19/RPL23/RPL24/RPL30/RPL37A/RPL38/RPL7A/RPLP1/RPS11/RPS13/RPS14/RPS16/RPS2/RPS21
Down-regulated SIV.Late ART Early ATI,Down,Late ART Early ATI,REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,23/339,164/11617,2.47778344027356e-08,23.0,DAG1/FAU/PSMB6/RPL10/RPL10A/RPL12/RPL15/RPL18/RPL19/RPL23/RPL24/RPL30/RPL37A/RPL38/RPL7A/RPLP1/RPS11/RPS13/RPS14/RPS16/RPS2/RPS21/UBB
