Description,Down-regulated SIV.Late ART Early ATI,Up-regulated SIV.Early ART During ART
KEGG_RIBOSOME,1,1
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,1,1
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,1,1
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,1,1
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,1,1
REACTOME_INFLUENZA_INFECTION,1,1
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,1,1
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,1,1
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,1,1
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,1,1
REACTOME_RRNA_PROCESSING,1,1
REACTOME_SELENOAMINO_ACID_METABOLISM,1,1
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,1,1
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,1,1
REACTOME_TRANSLATION,1,1
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,1,1
